ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
7943156,0.0204,0.00000115,6.1326059,5.150406,0.51698312,,
8065550,0.0204,0.0000027,5.821734,4.426264,0.48807412,,
8145225,0.0204,0.00000328,5.7500513,4.257856,1.4551012,,
8002629,0.0204,0.00000417,5.6630297,4.052764,0.26886603,PKD1L3,"polycystin 1 like 3, transient receptor potential channel interacting"
7973156,0.0204,0.0000042,5.6606777,4.047212,0.24108342,RNASE8,ribonuclease A family member 8
8138155,0.0204,0.00000484,5.6088722,3.924787,0.49202129,,
7967060,0.0204,0.00000545,-5.565676,3.822536,-0.35883264,SRSF9,serine and arginine rich splicing factor 9
7967304,0.0204,0.00000574,5.5469153,3.77808,0.33687649,RSRC2,arginine and serine rich coiled-coil 2
7979878,0.0316,0.00001156,5.2933579,3.174753,0.71777679,SLC10A1,solute carrier family 10 member 1
8083630,0.0316,0.00001202,-5.2791204,3.140755,-0.43214706,GFM1,G elongation factor mitochondrial 1
7964466,0.0316,0.00001222,-5.273376,3.127034,-0.67936905,DCTN2,dynactin subunit 2
8149208,0.0385,0.00001688,5.1564041,2.84728,0.45608587,LOC650293///OR7E125P///OR7E5P///OR7E91P///OR7E2P,seven transmembrane helix receptor///olfactory receptor family 7 subfamily E member 125 pseudogene///olfactory receptor family 7 subfamily E member 5 pseudogene///olfactory receptor family 7 subfamily E member 91 pseudogene///olfactory receptor family 7 subfamily E member 2 pseudogene
8016735,0.0385,0.00001761,5.1410832,2.810591,0.24386659,LINC00483,long intergenic non-protein coding RNA 483
7957737,0.0406,0.00002311,-5.0428589,2.57516,-0.41111986,TMPO,thymopoietin
8006812,0.0406,0.00002323,-5.0409438,2.570567,-0.74697093,PSMB3,proteasome subunit beta 3
8151090,0.0406,0.00002403,5.0287623,2.541346,0.24185104,,
8158057,0.0406,0.0000243,5.0247092,2.531622,0.22878287,,
7975045,0.0453,0.00002866,-4.965074,2.388505,-0.55556329,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"
7981333,0.0497,0.00003462,4.8967391,2.224414,1.41449977,,
8131949,0.0497,0.00003496,-4.8932469,2.216026,-0.22164361,CBX3,chromobox 3
8179298,0.0527,0.00003933,-4.8506747,2.113762,-0.4328952,CSNK2B,casein kinase 2 beta
8118218,0.0527,0.00004196,-4.8272536,2.057494,-0.43839555,CSNK2B,casein kinase 2 beta
8118249,0.0527,0.00004352,4.8140435,2.025756,0.36722327,C6orf25,chromosome 6 open reading frame 25
8004024,0.0527,0.00004444,4.8064612,2.007539,0.36248815,GP1BA,glycoprotein Ib platelet alpha subunit
8028323,0.0562,0.00004938,4.7683091,1.915873,0.30880404,,
8178050,0.0588,0.00005379,-4.7373584,1.841511,-0.46177724,CSNK2B,casein kinase 2 beta
8013272,0.0594,0.00005638,4.7203813,1.800724,1.01490553,CCDC144CP///CCDC144NL///CCDC144B///CCDC144A,"coiled-coil domain containing 144C, pseudogene///coiled-coil domain containing 144 family, N-terminal like///coiled-coil domain containing 144B (pseudogene)///coiled-coil domain containing 144A"
8078857,0.0604,0.00005943,4.7012795,1.754835,0.49851183,TTC21A,tetratricopeptide repeat domain 21A
8160912,0.0619,0.00006368,4.6762872,1.694801,1.04043617,C9orf131,chromosome 9 open reading frame 131
7939005,0.0619,0.00006595,4.6635879,1.664299,0.37347794,,
7978553,0.0619,0.00007242,-4.6296604,1.582824,-0.59813586,SPTSSA,serine palmitoyltransferase small subunit A
8070782,0.0619,0.00007537,4.6151603,1.548009,0.2660048,KRTAP10-5,keratin associated protein 10-5
8168500,0.0619,0.0000785,-4.6004172,1.512615,-0.44976646,PGK1,phosphoglycerate kinase 1
8108510,0.0619,0.00007891,4.5985369,1.508102,0.22410309,ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3///ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3,ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1///eukaryotic translation initiation factor 4E binding protein 3///ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1///eukaryotic translation initiation factor 4E binding protein 3
8005679,0.0619,0.00008026,4.5923626,1.493281,0.55424908,CCDC144CP///CCDC144NL///CCDC144B///CCDC144A,"coiled-coil domain containing 144C, pseudogene///coiled-coil domain containing 144 family, N-terminal like///coiled-coil domain containing 144B (pseudogene)///coiled-coil domain containing 144A"
8082478,0.0619,0.00008183,-4.5853625,1.476479,-0.74273005,COPG1,coatomer protein complex subunit gamma 1
8141762,0.0619,0.00008252,-4.5823039,1.469138,-0.27929725,POLR2J,RNA polymerase II subunit J
8068494,0.0619,0.00008519,-4.5707525,1.441416,-0.33526447,,
8002919,0.0619,0.0000855,-4.5694504,1.438291,-0.48384256,KARS,lysyl-tRNA synthetase
8092455,0.0619,0.00008713,4.562564,1.421767,0.37723142,,
7960896,0.0641,0.00009242,4.5411843,1.370473,0.63214807,LOC650293///OR7E91P,seven transmembrane helix receptor///olfactory receptor family 7 subfamily E member 91 pseudogene
7900409,0.065,0.00009595,4.5275938,1.337875,0.27452328,TMCO2,transmembrane and coiled-coil domains 2
8163930,0.0657,0.00009937,-4.5148698,1.307361,-0.44228645,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8
7971838,0.0663,0.00010457,4.4963349,1.262921,0.21686456,LECT1,leukocyte cell derived chemotaxin 1
8126666,0.0663,0.00010777,4.4853598,1.236614,0.31266768,NFKBIE,NFKB inhibitor epsilon
8099082,0.0663,0.00010788,4.4849877,1.235722,0.41029727,,
8119894,0.0663,0.00011038,4.4766604,1.215764,0.33889819,,
8009513,0.0663,0.0001125,-4.469745,1.199193,-0.22980489,,
8125042,0.0663,0.00011957,4.4475796,1.146092,0.38038009,LY6G6C,"lymphocyte antigen 6 complex, locus G6C"
7940582,0.0663,0.00012024,4.4455396,1.141206,0.3187442,BEST1,bestrophin 1
8108376,0.0663,0.00012045,4.4449194,1.13972,0.48200633,,
8005204,0.0663,0.00012147,4.4418379,1.13234,1.05388453,CCDC144CP///CCDC144NL///CCDC144B///CCDC144A,"coiled-coil domain containing 144C, pseudogene///coiled-coil domain containing 144 family, N-terminal like///coiled-coil domain containing 144B (pseudogene)///coiled-coil domain containing 144A"
8044963,0.0663,0.00012362,4.4354785,1.117111,0.31935009,,
7973020,0.0671,0.00012752,4.4241511,1.089989,0.18846498,,
8090416,0.0712,0.00013974,4.3908328,1.010252,0.37510682,,
8028756,0.0712,0.00014144,-4.3864266,0.999711,-0.26634499,PSMC4,"proteasome 26S subunit, ATPase 4"
8023481,0.0712,0.00014275,-4.3830694,0.991681,-0.43491431,NARS,asparaginyl-tRNA synthetase
7950444,0.072,0.00014995,-4.365134,0.94879,-0.49791201,,
8127542,0.072,0.0001568,4.3488499,0.909865,0.60611328,,
8154731,0.072,0.00015825,4.3454874,0.901829,0.18282271,,
8090448,0.072,0.00016145,-4.3381751,0.884356,-0.66098572,RUVBL1///RUVBL1,RuvB like AAA ATPase 1///RuvB like AAA ATPase 1
7918794,0.072,0.00016479,4.330704,0.866508,0.4062544,AMPD1,adenosine monophosphate deaminase 1
8118826,0.072,0.00016509,-4.3300524,0.864951,-0.37511723,SNRPC,small nuclear ribonucleoprotein polypeptide C
8110803,0.072,0.0001651,-4.330036,0.864912,-0.41885269,CLPTM1L,CLPTM1 like
8028104,0.072,0.00016517,4.3298809,0.864542,0.25327718,HCST,hematopoietic cell signal transducer
8084963,0.072,0.00016722,-4.3253773,0.853785,-0.54269787,PAK2,p21 (RAC1) activated kinase 2
7997166,0.0762,0.00018026,4.2979475,0.788296,0.5896106,LOC100127951,ISPF6484
7923958,0.0762,0.0001827,4.2930326,0.776566,0.28642021,C1orf116,chromosome 1 open reading frame 116
7918345,0.0762,0.00018485,-4.2887615,0.766375,-0.55783366,PSMA5,proteasome subunit alpha 5
8144656,0.0784,0.00019734,4.2648634,0.709376,0.29149776,C8orf49,chromosome 8 open reading frame 49
7922773,0.0784,0.00019754,4.2644888,0.708483,0.23477628,NCF2,neutrophil cytosolic factor 2
8149148,0.0784,0.00019974,4.2604474,0.698848,0.39473673,LOC650293///OR7E125P///OR7E2P,seven transmembrane helix receptor///olfactory receptor family 7 subfamily E member 125 pseudogene///olfactory receptor family 7 subfamily E member 2 pseudogene
7921702,0.0784,0.00020273,4.2550104,0.685888,0.18797008,ITLN2,intelectin 2
8114225,0.0784,0.00020392,-4.2528738,0.680796,-0.28546548,H2AFY,H2A histone family member Y
7922703,0.0785,0.0002084,4.2449093,0.661816,0.19709268,TEDDM1,transmembrane epididymal protein 1
8034454,0.0785,0.00020972,-4.2426062,0.656329,-0.55195228,DHPS,deoxyhypusine synthase
